"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2220-07_1_S28","","Stop 07 1 S28","21.212828","105.802475","","","0","","","","0","",""
"2220-07_1_S29","","Stop 07 1 S29","21.214961","105.801275","","","0","","","","0","",""
"2220-07_2_S2","","Stop 07 2 S2","21.219561","105.781342","","","0","","","","0","",""
"2220-07_2_S19","","Stop 07 2 S19","21.046266","105.783592","","","0","","","","0","",""
"2220-07_2_S20","","Stop 07 2 S20","21.046282","105.786909","","","0","","","","0","",""
"2220-07_2_S21","","Stop 07 2 S21","21.046249","105.792042","","","0","","","","0","",""
"2220-07_2_S22","","Stop 07 2 S22","21.04628","105.796187","","","0","","","","0","",""
"2220-07_2_S23","","Stop 07 2 S23","21.041166","105.797308","","","0","","","","0","",""
"2220-08A_1_S3","","Stop 08a 1 S3","21.033716","105.854257","","","0","","","","0","",""
"2220-08A_1_S4","","Stop 08a 1 S4","21.028366","105.85549","","","0","","","","0","",""
"2220-08A_1_S5","","Stop 08a 1 S5","21.022933","105.854207","","","0","","","","0","",""
"2220-08A_1_S6","","Stop 08a 1 S6","21.023233","105.85169","","","0","","","","0","",""
"2220-08A_1_S7","","Stop 08a 1 S7","21.022283","105.85024","","","0","","","","0","",""
"2220-08A_1_S8","","Stop 08a 1 S8","21.01945","105.849257","","","0","","","","0","",""
"2220-08A_1_S9","","Stop 08a 1 S9","21.0163","105.849057","","","0","","","","0","",""
"2220-08A_1_S10","","Stop 08a 1 S10","21.01155","105.84889","","","0","","","","0","",""
"2220-08A_1_S11","","Stop 08a 1 S11","21.004233","105.850907","","","0","","","","0","",""
